Experiment,Sample,Condition,Comparison_MLN4924,Comparison_CSN5i
experiment1_normdata.csv,F1.126.DMSO,DMSO,0,0
experiment1_normdata.csv,F1.127N.DMSO,DMSO,0,0
experiment1_normdata.csv,F1.127C.DMSO,DMSO,0,0
experiment1_normdata.csv,F1.128N.MLN4924,MLN4924,1,NA
experiment1_normdata.csv,F1.128C.MLN4924,MLN4924,1,NA
experiment1_normdata.csv,F1.129N.MLN4924,MLN4924,1,NA
experiment1_normdata.csv,F1.129C.CSN5i.R,CSN5i,NA,1
experiment1_normdata.csv,F1.130N.CSN5i.R,CSN5i,NA,1
experiment1_normdata.csv,F1.130C.CSN5i.R,CSN5i,NA,1
experiment2_normdata.csv,F1.126.DMSO,DMSO,0,0
experiment2_normdata.csv,F1.127N.DMSO,DMSO,0,0
experiment2_normdata.csv,F1.127C.DMSO,DMSO,0,0
experiment2_normdata.csv,F1.128N.MLN4924,MLN4924,1,NA
experiment2_normdata.csv,F1.128C.MLN4924,MLN4924,1,NA
experiment2_normdata.csv,F1.129N.MLN4924,MLN4924,1,NA
experiment2_normdata.csv,F1.129C.CSN5i.R,CSN5i,NA,1
experiment2_normdata.csv,F1.130N.CSN5i.R,CSN5i,NA,1
experiment2_normdata.csv,F1.130C.CSN5i.R,CSN5i,NA,1
