,PSMs,F1.126.DMSO,F1.127N.DMSO,F1.127C.DMSO,F1.128N.MLN4924,F1.128C.MLN4924,F1.129N.MLN4924,F1.129C.CSN5i.R,F1.130N.CSN5i.R,F1.130C.CSN5i.R
AHNAK,997,6.55639859304398,6.7733566106298,6.63340945167938,6.65044805362441,6.18204443166737,6.53730903846201,6.45966659071995,6.60764685235735,6.12307272785007
FLNA,569,5.28333366212407,5.36365518967956,5.31983582789922,5.23202857442607,5.06759069453872,5.24192523088048,5.21070047560228,5.30822671681555,5.15192214278927
MYH9,632,4.87512623715099,4.6816991108838,4.82872063097137,4.75079976212897,5.22014268753817,4.82426387338939,5.06900524536847,4.92219310847286,5.40955078662183
PRKDC,486,5.06073858319337,4.81834771424035,5.01944504378072,5.17996245368477,5.84611509032489,5.2538573330399,5.31893972131256,5.06788693544921,5.96023396282967
DYNC1H1,361,4.7683437826429,4.55064062236654,4.76365016134096,4.75535780463771,5.33301502837714,4.83936203845412,4.9920599031358,4.80764652051781,5.55993130436158
FASN,630,5.43081560547118,5.28449627611736,5.37983887357063,5.22556655047669,5.6304071106766,5.31795160870091,5.62429210174935,5.43990307321045,5.8720427942399
AKAP12,620,-0.238313431216396,-0.157514253695668,-0.155264198370206,-0.490603698262841,-0.574568196871578,-0.402011374436803,-0.384728566028913,-0.212518713130212,-0.51906095383038
FLNB,418,4.97067168981421,4.9317534760124,4.99788648596091,4.95248595559299,4.84674720763795,4.93257706930733,4.95886281693343,5.0360560233796,4.87955979888272
SPTAN1,333,4.78355937578871,4.77435766761961,4.81939496546192,4.72287957532737,4.68283062293805,4.76795830286031,4.85279451356421,4.88842761634929,4.69457667333161
SPTBN1,273,0.147170040275338,0.0133503082102582,0.142125081490313,0.0236002417836811,0.610024315019301,0.195495219173219,0.427723648827747,0.308474000639766,0.705150067319412
TLN1,283,4.23471247454126,4.12990285225026,4.25005364710874,3.96642061333643,4.11923515446363,4.02651452641577,4.27008295505366,4.19548237761693,4.28694152280411
CLTC,446,4.55239372597409,4.33300849243118,4.52965394667426,4.44298880586621,5.00239451514038,4.56644673476619,4.78308234834232,4.58047807748667,5.13896313691208
MKI67,287,1.44491938991564,1.18166647092427,1.37589804456632,1.47126025721136,2.1851630690185,1.64311363051451,1.4902244341795,1.33162878177106,2.15510458584465
SRRM2,391,4.03321709475205,4.19625039451723,4.18795061830186,4.16977902400168,3.91169439191853,4.10641939807022,4.01265006187356,4.19248430908788,3.84875157966208
HSPD1,1134,6.1821519009022,6.5100623297943,6.22084308968424,6.31086449196367,5.87158594938327,6.21851292338161,6.07167510572831,6.22874029877822,5.82190293285513
ACTN4,519,4.55778622223229,4.6416270666819,4.60616350034077,4.470733668513,4.47524866345197,4.4856524473196,4.62818969422427,4.64620596278986,4.5513240413247
DSP,235,4.30653221182967,4.09566364878658,4.18534081579885,4.10681615178092,4.3708517923782,4.13557281029113,4.33517709532141,4.26861362527368,4.50123365886022
EPRS,355,4.74271561012966,4.55905369836651,4.72071156111381,4.55865496251542,4.99473925824351,4.65565139756102,4.92882864973659,4.80984909989824,5.19651496482073
SNRNP200,248,4.22418408107073,4.03890004748802,4.20392974578042,4.24868793968539,4.82616216319219,4.35834606808363,4.50953308408378,4.3159220732702,4.86743019677005
HSP90AB1,1441,4.22158410932821,4.487193830118,4.23917909169091,4.05346481217259,4.12863037598758,4.06567595412542,4.24286781191893,4.24624184052836,4.2926677215043
HSPA4,499,5.14745754932558,5.24789426575587,5.17849736237171,5.07805533920388,4.79140789598087,5.015370784346,5.00809577700836,5.11219783842161,4.81698278414346
FAT1,219,3.95218410213132,3.93430960441038,3.99137208648807,4.04743874385942,3.97832228315463,4.07841298909971,4.10301189845973,4.19874105686587,4.00668304707047
TPR,282,4.32239253555857,4.42624680640206,4.37996486181063,4.45521867627884,4.17052008868607,4.45230457358115,4.16984410440924,4.30961096062438,3.97873248896629
KRT18,891,5.72677213847708,5.92217377714038,5.70918446282477,5.73016346483984,5.25097371592391,5.63643665058821,5.50770983119037,5.67247657608653,5.19607163412815
IQGAP1,217,3.68691362927412,3.4676876862524,3.6919640359824,3.60815579322276,4.28575640966758,3.71615423933928,3.91904255535669,3.74258073861233,4.56071711237725
HSPA8,1003,5.95728654553419,6.27093094554561,6.01387780389774,5.96314845262119,5.56775584214124,5.85721491887841,5.82665049185011,5.94908773863872,5.58350142052238
CAD,213,3.60093203709574,3.38978390696035,3.57807980649327,3.38864943262398,3.78625717490906,3.46960374642418,3.75477424210694,3.58362817212155,4.0227565406785
LRPPRC,298,4.47576710331262,4.25943108732721,4.40160418530044,4.38772923087548,4.76719848582261,4.48703722613379,4.64102832560835,4.53520230271498,4.82702111896924
GCN1L1; GCN1,216,4.01888724429349,3.81415036695232,4.01361034096763,3.93919594284823,4.50194879056066,4.0173358544878,4.19464602437904,3.95504949308874,4.70245057129358
EEF2,563,5.62414051212366,5.62636096843515,5.5885134317726,5.3530410288407,5.43597537698843,5.36580401425429,5.60841648974756,5.56351897360373,5.63034780692807
RANBP2,191,3.30973941239412,3.15129018728568,3.29774854317914,3.31137925432539,3.70585150854336,3.36775093161069,3.49291738284446,3.40943320441395,3.79946019545359
HSPH1,535,1.72580412798773,1.79462906014558,1.75743404316824,1.62796253309683,1.35333046382702,1.57294349611687,1.66130088351036,1.73340100032828,1.37730963942762
VCP,330,4.55548126141998,4.69705975690126,4.59786573658839,4.53392711879671,4.17940150589805,4.53078108461447,4.38957571214168,4.52066203697775,4.18914076212057
TUBB,892,2.77562703443471,3.08143189650008,2.90654080895609,2.64304433420159,2.37892363287282,2.58465829515071,2.71445215733178,2.7791310160183,2.50162611452323
HSPA9,535,5.3017080028423,5.63868146249184,5.34305813701572,5.44363295602772,4.94787060933533,5.34334349120214,5.13407233019632,5.30679988587278,4.8953906956025
HSP90AA1,1259,5.06063082958963,5.18855329874464,5.10323282083461,4.90748412248107,4.9112353451314,4.92270853541883,5.09994943587765,5.14456244554368,5.06071353456634
PRPF8,236,3.79626680049375,3.53383561190789,3.8184656369228,4.02112085891908,4.74939486231148,4.03789708833002,4.15798310960161,3.84688959169925,4.81673047808651
DHX9,292,3.7201756856276,3.48329355037454,3.65150146770607,3.74944364680839,4.21850041024134,3.79049862043553,3.93529698995568,3.8029387555682,4.27565653266345
FLNC,196,3.44147531429222,3.35108232068315,3.46517132798636,3.26293100882667,3.26082417129873,3.30847642378908,3.38863052112224,3.40817230888851,3.3659735416973
TUBB4A,765,-0.789558814247103,-0.913929847869158,-0.726715497472449,-0.976112568996522,-1.10251928181977,-0.954177163276675,-0.838562268503837,-0.731098322017933,-0.854793973364904
ATP5B,456,4.82894136037972,5.02162329135293,4.8542090462406,4.93482132043562,4.59326757417064,4.84318358068482,4.77668956063556,4.91085904915304,4.51322808067504
MYH10,171,2.96868234574979,2.7222000258448,2.89960991867798,2.83864846437781,3.36182979285129,2.93404109240028,3.13024382140678,2.9815508052635,3.50509749790861
GOLGB1,162,3.24331442418745,3.20859338921701,3.27143206791535,3.30749193552699,3.38727394638227,3.36323360228309,3.39719796474484,3.39485041665602,3.40241073381401
HNRNPM,703,5.57540334025897,5.72459238796858,5.54774409148979,5.61536213380431,5.36849238568716,5.57869181379862,5.50886802368188,5.61012316902031,5.33504316931618
MYOF,199,3.91847185687083,3.77809905889,3.88399710607416,3.90639419430391,4.42903561041745,3.94737773162105,4.1597766346283,3.99291942458583,4.50881715363439
LMNA,552,2.00336754967021,2.41843923041971,2.06869839662332,2.16649858315133,1.75222226024364,2.05705466250407,1.98182869702923,2.12693875781977,1.70678484941036
EPPK1,158,2.82843515158825,2.66555349817827,2.771738727253,2.76247457114337,2.97633533382307,2.81243229378415,3.01744181626148,2.96139563837879,3.10975147779932
MDN1,130,3.07773434574082,2.94105512244282,3.14198525158559,3.21153894768391,3.80212955131039,3.26706723179447,3.33722459649769,3.12671440589631,3.885062380402
TNKS1BP1,142,3.05689038713208,3.22988660942344,3.14927327877201,3.04724450451897,2.58341098808692,2.98512704897547,2.88256160380899,3.05267446086838,2.64141090155493
ENO1,811,5.74290029228738,6.06159328980046,5.80994811857949,5.60844306345503,5.24422041665497,5.54363797754075,5.57807751601402,5.6738848017191,5.30869271221317
CHD4,188,3.26620261595849,3.07541310724697,3.22231526980613,3.33760814636956,3.87713228777821,3.41761238495407,3.56629954867226,3.40946394420068,3.92421716923427
TUBB2A,754,0.636187824076329,0.840447930402789,0.773590218130057,0.546050361490412,0.271140903349361,0.573863745297084,0.647980188345059,0.920436109928092,0.412368318091566
GAPDH,644,5.82622367938581,5.92697388623185,5.82819385713468,5.65636752770373,5.28158010521829,5.55152328312415,5.61104677841416,5.70597539881994,5.36171178814558
CCT2,474,5.00092686003316,5.08792954574415,5.01059796129906,4.79719465793441,4.59997969276437,4.76744444698389,4.87720029442708,4.90739133106721,4.68085895432462
CCT5,568,5.29261507672155,5.43405133948534,5.30190059224294,5.11328308830349,4.92488791810543,5.08891215031375,5.18278756663297,5.20100710537947,4.99107545830588
ACTN1,314,3.12738088933123,3.09822429691682,3.16246511030504,2.97359334921853,3.05524639740612,3.01159297146683,3.18900445119893,3.19614183017998,3.13350368315605
UBR4,135,3.12085004672506,2.81556746453665,3.0826443071578,2.99572383619798,3.62420127422723,3.07001265239549,3.34532835458949,3.07919677115028,3.86787385534771
CENPF,126,3.36712478988417,3.45506493256996,3.44892921074653,3.83974999192808,3.64702173763217,3.90264454234078,3.32347088936913,3.37672665386303,3.06571956076113
EZR,449,4.08313733935906,4.31457832458593,4.07742580599322,3.89362369643444,3.58056220743058,3.87279461459422,3.81291949556427,3.92480847121394,3.74581476981377
SF3B3,223,3.76365165748802,3.64387586696403,3.76644210176451,3.74084338528803,3.97960965348488,3.79826261066144,3.89844889743938,3.86601155645407,3.9731964739503
VCL,246,4.12544190964987,4.14512789475553,4.14554668746014,3.90964208524001,3.76135762823467,3.88019120753243,4.05612418751755,4.11394378582796,3.92567189514791
ILF3,319,4.16842578584352,4.24446776027638,4.18593436742476,4.2693644421895,4.27822016383974,4.27837069136304,4.24798117067127,4.30769903628631,4.31785879488626
ITGB4,172,3.32548997409923,3.27399401277845,3.35807125879639,3.30755091251338,3.4013248018552,3.34085285175263,3.40475265838069,3.43713896412245,3.51288326695389
SF3B2,339,4.67055549180653,4.82146041193059,4.71044623513786,4.79704764131974,4.28917818195542,4.69410584724744,4.4897967251225,4.67451805507416,4.20386544819084
TCP1,288,4.42267799017104,4.41486195091837,4.40567208105517,4.1514300255728,4.2297394057832,4.19198652776349,4.45282372934207,4.40624808920269,4.39048402832167
TUBB3,580,0.633485785751706,0.607559700226428,0.591018862200769,0.388816678991722,0.127550049720512,0.366217216330979,0.437219357274378,0.477754143563457,0.190643656563795
TUBA1A,606,0.59729670333571,0.609954215366811,0.581770126652394,0.312349449614786,0.21029894250627,0.345530505315864,0.409420067954361,0.557594821774677,0.257181168971181
KHSRP,408,4.6223225775673,4.80814721651951,4.60107359389592,4.64994518657097,4.25145488693891,4.574093715903,4.42922499806147,4.61053770390193,4.20074744870577
PDIA4,344,4.8251933168691,4.88926079371188,4.85812996571799,4.8724904382357,4.6191966632903,4.84345918940478,4.76889090213037,4.92058710180644,4.61004527690723
HNRNPA2B1,492,4.51306083221638,4.84917654621837,4.54168179704277,4.71569761712572,4.1972171734193,4.54111757497084,4.32285979368436,4.48800833962469,4.07299624952704
LMNB1,383,4.51595856156374,4.66938888263596,4.5252381442796,4.62604843900489,4.30455498749954,4.56747381073769,4.42024779011765,4.5506849433829,4.24544580481078
